player,team,avg_hr_trot,doubters,no_doubters,no_doubter_per,hr_total,xhr,position
Effross Scott,NYY,23.64,0,0,0.0,1,1.0,pitcher
Crismatt Nabil,LAD,27.57,0,1,100.0,1,2.0,pitcher
Aaron Judge,NYY,23.89,13,30,49.2,61,56.2,hitter
Shohei Ohtani,LAD,23.3,19,33,57.9,57,52.9,hitter
Juan Soto,NYY,27.41,16,24,53.3,45,47.8,hitter
Teoscar Hernández,LAD,25.18,6,14,38.9,36,35.1,hitter
Giancarlo Stanton,NYY,23.94,14,21,61.8,34,35.5,hitter
Freddie Freeman,LAD,22.02,15,6,23.1,26,22.2,hitter
Jazz Chisholm Jr.,NYY,26.77,12,11,42.3,26,25.0,hitter
Mookie Betts,LAD,22.96,8,4,17.4,23,18.7,hitter
Will Smith,LAD,21.95,13,8,34.8,23,19.4,hitter
Max Muncy,LAD,24.74,6,9,50.0,18,17.5,hitter
Gleyber Torres,NYY,23.6,17,1,5.9,17,12.3,hitter
Austin Wells,NYY,22.5,2,8,53.3,15,18.2,hitter
Andy Pages,LAD,21.12,7,8,53.3,15,15.0,hitter
Alex Verdugo,NYY,28.18,9,4,28.6,14,13.8,hitter
Enrique Hernández,LAD,21.7,7,4,28.6,14,7.4,hitter
Anthony Volpe,NYY,22.86,3,1,7.7,13,12.3,hitter
Gavin Lux,LAD,24.54,6,2,18.2,11,7.3,hitter
Trent Grisham,NYY,21.69,5,5,55.6,9,8.4,hitter
Jose Trevino,NYY,22.45,1,3,37.5,8,8.3,hitter
Tommy Edman,LAD,22.47,3,0,0.0,8,6.8,hitter
Oswaldo Cabrera,NYY,23.47,5,1,12.5,8,4.5,hitter
Anthony Rizzo,NYY,26.25,3,4,50.0,8,7.5,hitter
Ben Rice,NYY,21.36,1,4,57.1,7,9.7,hitter
Miguel Rojas,LAD,22.68,1,2,33.3,6,5.9,hitter
Kevin Kiermaier,LAD,21.75,3,1,20.0,5,4.3,hitter
Chris Taylor,LAD,22.56,1,2,50.0,4,6.1,hitter
James Outman,LAD,22.06,1,1,25.0,4,4.2,hitter
J.D. Davis,NYY,20.37,2,1,25.0,4,3.8,hitter
DJ LeMahieu,NYY,21.34,3,0,0.0,2,1.3,hitter
Jasson Domínguez,NYY,24.47,0,1,50.0,2,1.8,hitter
Jahmai Jones,NYY,19.64,0,0,0.0,1,1.5,hitter
Austin Barnes,LAD,24.66,1,0,0.0,1,1.1,hitter
Jon Berti,NYY,19.81,1,0,0.0,1,0.1,hitter
Oswald Peraza,NYY,22.68,0,1,100.0,1,1.0,hitter
